song_cluster_id,grouping_key,mood_party,mood_aggressive,mood_happy,mood_sad,mood_relaxed,genre_ros,timbre,bpm,danceability,submission_offset,tuning_frequency,tuning_equal_tempered_deviation,lyrics_text,作詞,作曲,製作,編曲,track_name,duration_ms,artist_credit,album_title,release_date,release_group_mbid,release_group_mbid.1,ai_theme,ai_sentiment,ai_notes,recording_mbid,recording_mbid.1,super_theme,recording_duration_ms,artist_credit_name,isrcs,release_mbids,work_titles,work_mbids,videoId,url,viewCount,likeCount,commentCount,publishedAt,description,tags,categoryId,yt_duration,track_id,popularity,normalized_key,combined_key,consolidated_album_title,release_year
0,002cdc09-b1d1-4dc4-8cd1-c304e920082a | 你手握緊的溫度||花季未了 | 你手握緊的溫度||花季未了 (民國百年舞台劇原聲帶),,,,,,,,,,,,,,,,,,你手握緊的溫度,251666,張信哲,花季未了 | 花季未了 (民國百年舞台劇原聲帶),,12dbde9d-14ba-4bc9-86d0-1b840798fde0,12dbde9d-14ba-4bc9-86d0-1b840798fde0,,,,002cdc09-b1d1-4dc4-8cd1-c304e920082a,,,251666,張信哲,,0341b028-5921-4db6-a306-f4b8e5add35c,,,,,,,,,,,,,5BtxxR7itK1B9c6OFoKWIl,1,你手握緊的溫度,,花季未了,2011
1,00b66b1d-935a-47cc-a3cb-017be58d902d | 眼中的念舊|| | 眼中的念舊||空出來的時間,,,,,,,,,,,,,"我一個人像趕路卻在漫遊
疲憊放大了寂寞努力無欲無求
世界很遼闊怎會相遇同個路口
想冷漠想逃脫又不願狼狽退縮
還恨太過不成熟原諒也並沒有
混亂了多久情緒未曾找到出口
眼中的念舊嘴上的灑脫
遮掩不了渴求
你臉上心疼的歉疚
讓我的自尊難過
眼中的念舊揮手的冷漠
心越不捨越逃走
經不起太暖的問候
赴湯蹈火愛過
哪是故作成熟就能夠一笑而過
你流淚重複說不知道我傷很多
躲開彌補的溫柔躲開你的雙手
但怎麼躲開我腦海記憶的狂流
眼中的念舊嘴上的灑脫
遮掩不了渴求
你臉上心疼的歉疚
讓我的自尊難過
眼中的念舊揮手的冷漠
心越不捨越逃走
經不起太暖的問候
赴湯蹈火愛過
哪是故作成熟就能夠一笑而過
眼中的念舊嘴上的灑脫
遮掩不了渴求
你臉上心疼的歉疚
讓我的自尊難過
眼中的念舊揮手的冷漠
心越不捨越逃走
經不起太暖的問候
赴湯蹈火愛過
哪是故作成熟就能夠一笑而過",,,,,眼中的念舊,273600,張信哲,空出來的時間,,791c42a8-448d-410d-9105-160583a78cff,791c42a8-448d-410d-9105-160583a78cff,內心掙扎與故作灑脫的念舊,憂鬱、矛盾、自尊受損的痛苦,歌詞精準捕捉了分手後「言行不一」的痛苦。敘事者試圖以「嘴上的灑脫」和「揮手的冷漠」來保護自尊，但眼神（「眼中的念舊」）和內心卻出賣了真實的渴求與不捨。這種矛盾的對比是歌詞的核心張力所在。特別是「你臉上心疼的歉疚，讓我的自尊難過」一句，深刻描繪了自尊心在面對舊愛憐憫時所受到的二次傷害。副歌的重複結構強化了這種「心越不捨越逃走」的困境難以掙脫。由於缺乏音訊數據，無法進行聲學比對，但從歌詞極度內斂和壓抑的情緒來看，預期音樂調性應會與歌詞情緒高度 reinforcing (增強)，以張信哲標誌性的細膩唱腔來詮釋這種複雜的自我拉扯。,00b66b1d-935a-47cc-a3cb-017be58d902d,,Internal_Conflict_Pain,273600,張信哲,,2517bb91-8487-4283-8729-d54bfc8c28c5,,,i7JF8uk9CZs,https://www.youtube.com/watch?v=i7JF8uk9CZs,4830,21,0,2017-07-10T09:50:38Z,"Provided to YouTube by YOYOROCK

眼中的念舊 · 張信哲

空出來的時間

℗ 潮水音樂有限公司

Released on: 2012-12-12

Auto-generated by YouTube.","張信哲,空出來的時間,眼中的念舊",10.0,PT4M34S,3DEdp4Fs2cqqSdAXBnVZFZ,4,眼中的念舊,,空出來的時間,2012
2,0100606f-3dba-4658-a751-e7efd94177fe | 滾滾紅塵|| | 滾滾紅塵||歌 時代 | 滾滾紅塵||歌時代,,,,,,,,,,,,,"起初不經意的妳
和少年不經世的我
紅塵中的情緣 只因那生命匆匆不語的膠著
想是人世間的錯
或前世流傳的因果
終生的所有 也不惜換取剎那陰陽的交流
來易來 去難去 數十載的人世遊
分易分 聚難聚 愛與恨的千古愁
本應屬於妳的心
它依然護緊我胸口
為只為那塵世轉變的面孔後的翻雲覆雨手
來易來 去難去 數十載的人世遊
分易分 聚難聚 愛與恨的千古愁
於是不願走的妳
要告別已不見的我
至今世間仍有隱約的耳語跟隨我倆的傳說
來易來 去難去 數十載的人世遊
分易分 聚難聚 愛與恨的千古愁
於是不願走的妳 要告別已不見的我
至今世間仍有隱約的耳語 跟隨我倆的傳說
滾滾紅塵裡有隱約的耳語 跟隨我倆的傳說",,,,,滾滾紅塵,,張信哲,歌 時代 | 歌時代,,08b44a3b-2c74-4fb9-a182-50b0e75a1aa6,08b44a3b-2c74-4fb9-a182-50b0e75a1aa6,紅塵中的宿命之愛與永恆傳說,憂鬱、哲學性反思、無奈的悲劇感,這首詞深刻描繪了紅塵俗世中，個人情感在命運巨輪下的無力感。歌詞以「起初不經意」開場，以「隱約的耳語」作結，架構出一段從相遇、糾葛、分離到成為傳說的史詩級愛情。核心句「來易來 去難去，分易分 聚難聚」運用對仗，極致表達了聚散無常的宿命觀。詞中提及的「翻雲覆雨手」暗示了外在力量（命運或世事變遷）主導了這場悲劇。雖然缺乏音訊數據，但詞作本身的宏大格局與深沉情感，強烈指向一種莊嚴且憂傷的音樂詮釋，而張信哲的演繹通常會利用其清亮、富有穿透力的聲線，完美地增強（reinforcing）歌詞中那種既無奈又刻骨銘心的悲劇色彩。,0100606f-3dba-4658-a751-e7efd94177fe,,Love_Loss,,張信哲,,8ebbf975-978b-4b83-b452-3578b0c661fa,滾滾紅塵,29cb5533-ac1e-424a-8561-53f4840b8618,VhhdyOta1C0,https://www.youtube.com/watch?v=VhhdyOta1C0,3845,31,0,2019-10-10T04:19:38Z,"Provided to YouTube by YOYOROCK

滾滾紅塵 · 張信哲

歌 時代

℗ 潮水音樂有限公司

Released on: 2016-03-28

Auto-generated by YouTube.","張信哲,歌 時代,滾滾紅塵",10.0,PT3M21S,3wUBrkA9f4lRvb1Ex791Sb,18,滾滾紅塵,,歌時代,
3,0158a18b-4d42-4abd-bbda-0bfa815d4e8b | 爱已成风||永恒金曲 影音典藏精选,,,,,,,,,,,,,"怎麼能忘記 你憂傷的神情
我的心事有如落葉掃不盡
你明明在流淚 卻說你不傷心
我恨今夜的雨下得有點無情
愛愈來愈遠 每一顆星每天在改變
傷心的人都輾轉不能成眠
你將我所有的溫柔 全都拋在悲傷之中
讓我隨著寂寞浮動
你的心早已經遠走 不想在我心中停留
你的愛已成風 我的心已無從跟蹤
怎麼能忘記 你憂傷的神情
我的心事有如落葉掃不盡
你明明在流淚 卻說你不傷心
我恨今夜的雨下得有點無情
愛愈來愈遠 每一顆星每天在改變
傷心的人都輾轉不能成眠
你將我所有的溫柔 全都拋在悲傷之中
讓我隨著寂寞浮動
你的心早已經遠走 不想在我心中停留
你的愛已成風 我的心已無從跟蹤
你將我所有的溫柔 全都拋在悲傷之中
讓我隨著寂寞浮動
你的心早已經遠走 不想在我心中停留
你的愛已成風 我的心已無從跟蹤",黎沸揮     作曲：黎沸揮,,,,爱已成风,274093,張信哲,永恒金曲 影音典藏精选,,6468f778-de86-4781-b53f-2f6bde3644d5,6468f778-de86-4781-b53f-2f6bde3644d5,愛情的消逝與終結 (The fading and ending of love),深沉的憂鬱與無助 (Deep melancholy and helplessness),歌詞運用了「落葉掃不盡」、「今夜的雨」等自然意象，烘托出主角內心無邊的愁緒。核心意象「愛已成風」精準地表達了愛情的無形、消散與無法挽回的狀態，使追尋成為徒勞。主角面對伴侶的否認（「明明在流淚 卻說你不傷心」）與情感的遠離，陷入了徹底的寂寞與被拋棄感。由於缺乏音訊數據，無法評估旋律上的增強效果，但僅從歌詞來看，這是一首結構完整、情感濃度極高的悲情經典，符合張信哲情歌中對失落與掙扎的細膩描摹。,0158a18b-4d42-4abd-bbda-0bfa815d4e8b,,Love_Loss,274093,張信哲,,d89ebf36-6009-491b-aa7b-426bc3512eb3,,,,,,,,,,,,,,,爱已成风,,永恒金曲 影音典藏精选,2014
4,01bdbf2c-ac72-40d0-b7c6-fd48f1716a1b | e986c423-393e-4a3c-9f6f-0a2ebff688f2 | 依依不捨||张信哲精選 | 依依不捨||永恆金曲 影音典藏精選,,,,,,,,,,,,,,,,,,依依不捨,278360,張信哲,"张信哲精選 | 永恆金曲 影音典藏精選 | 等待 | 等待, 等待 | 精選",,f716ae7c-4b0f-4c0e-95f4-b0cee6c32520,f716ae7c-4b0f-4c0e-95f4-b0cee6c32520,,,,01bdbf2c-ac72-40d0-b7c6-fd48f1716a1b | e986c423-393e-4a3c-9f6f-0a2ebff688f2,,,277000.0 | 278360.0,張信哲,,"5c792ae8-3682-413e-b97a-d56808d08652, f12bbcfc-8f8b-3a31-ac30-453b0bfb77d2 | b9ce99ea-df13-4613-99ec-8927829b07d5",,,,,,,,,,,,,0vCqtRikj7I2mQVi1eJM91,24,依依不捨,,永恆金曲 影音典藏精選,
5,01d6fceb-d53c-4362-908d-d61add5c7ce1 | True||The Color of the Night,,,,,,,,,,,,,,,,,,TRUE,260000,張信哲,"The Color of the Night | The Color of the Night, 夜色 | 夜色, The Color of the Night",,f72bbaec-7726-3d62-b189-356663c85ff7,f72bbaec-7726-3d62-b189-356663c85ff7,,,,01d6fceb-d53c-4362-908d-d61add5c7ce1,,,260000,張信哲,,"c12badbb-72b0-4662-981d-0ac4f729e989, e38dd0a2-ef17-40e4-8768-e5416c0f5013",,,,,,,,,,,,,,,TRUE,,The Color of the Night,1996
6,03780505-4218-4656-8e4c-a33b5243e292,,,,,,,,,,,,,,,,,,有一点动心Sexually Aroused A Lttle,,,王与后,,,,,,,03780505-4218-4656-8e4c-a33b5243e292,,,,張信哲 & 劉嘉玲,,047e9b72-bd4e-43fc-86a5-47ea1a359118,,,,,,,,,,,,,,,有一点动心sexuallyarousedalttle,,王与后,
7,03a3b91d-9f9c-44c2-b614-edcfbf27bca1 | Blue Guitar||Somewhere in My Broken Heart,,,,,,,,,,,,,,,,,,Blue Guitar,278000,張信哲,"Somewhere in My Broken Heart | Somewhere in My Broken Heart | Somewhere in My Broken Heart, Somewhere in My Broken Heart",1994-10-01,3b18b64b-2b73-3957-afc1-04f436448b1e,3b18b64b-2b73-3957-afc1-04f436448b1e,,,,03a3b91d-9f9c-44c2-b614-edcfbf27bca1,,,278000,張信哲,,"1fb99774-511d-35d9-a8e5-701a647d0d85, c791dcb5-ed5b-418f-9bda-5bf66d551517 | c791dcb5-ed5b-418f-9bda-5bf66d551517, 1fb99774-511d-35d9-a8e5-701a647d0d85",,,,,,,,,,,,,,,blueguitar,,Somewhere in My Broken Heart,1994
8,03e8022f-caa9-45f0-bd05-2dbcd689bf58 | 別怕我傷心 (伴唱版)||絕對想念,not_party,not_aggressive,not_happy,sad,relaxed,rhy,dark,,not_danceable,0.0,447.4325562,0.01489419024,,,,,,別怕我傷心 (伴唱版),290000,張信哲,絕對想念,,9f93e9aa-19c8-34d6-9dd0-bffb03429933,9f93e9aa-19c8-34d6-9dd0-bffb03429933,,,,03e8022f-caa9-45f0-bd05-2dbcd689bf58,,,290000,張信哲,,74f78510-4de5-4ad6-9c1c-8697db83fac5,別怕我傷心,acbe87c6-524b-4ca4-af1f-2531fe1a76de,,,,,,,,,,,,,別怕我傷心伴唱版,C# major,絕對想念,1995
9,04033081-56eb-4ebe-b40e-7e498e222b0d | 珍藏我的愛情||知道,,,,,,,,,,,,,,,,,,珍藏我的愛情,222706,張信哲,"知道 | 知道 | 知道, 知道, 知道",,684825ee-82f4-3af6-8926-9d557c7e8669,684825ee-82f4-3af6-8926-9d557c7e8669,,,,04033081-56eb-4ebe-b40e-7e498e222b0d,,,222706,張信哲,,"58d8fbd7-705f-49d9-9b84-f0091e48fd07, 6d9eb186-7c40-4a2d-b655-26f4ae90d28a, 69962be0-fd6e-4a35-9d56-3754f0caa0f9 | 69962be0-fd6e-4a35-9d56-3754f0caa0f9, 58d8fbd7-705f-49d9-9b84-f0091e48fd07, 6d9eb186-7c40-4a2d-b655-26f4ae90d28a",,,,,,,,,,,,,,,珍藏我的愛情,,知道,1992
